"IUCN_binomial","trait_binomial","phylogeny_binomial","body_mass_median","litter_clutch_size","activity","hab_breadth","volant","diet_5cat","range_size_decimaldegrees","range_size_km2","threat"
"Aethomys_hindei","Aethomys_hindei","Aethomys_hindei",103.5,2.475,2,3,1,1,202.503918232,2498394.19242345,"LC"
"Aethomys_ineptus","Aethomys_ineptus","Aethomys_ineptus",133.16,3.345,2,3,1,1,53.9644654633,594592.013742344,"LC"
"Aethomys_kaiseri","Aethomys_kaiseri","Aethomys_kaiseri",90,2.95,2,4,1,1,138.952537424,1704271.59230273,"LC"
"Aethomys_namaquensis","Aethomys_namaquensis","Aethomys_namaquensis",57.3,3.62,2,9,1,1,297.68230076,3353449.64924959,"LC"
"Aethomys_nyikae","Aethomys_nyikae","Aethomys_nyikae",77.0125,3.56,2,1,1,1,74.2253017801,903585.037210092,"LC"
"Aethomys_silindensis","Aethomys_silindensis","Aethomys_silindensis",83.12293201,NA,2,2,1,1,1.64639727492,19228.9018054488,"DD"
"Aethomys_stannarius","Aethomys_stannarius","Aethomys_stannarius",83.19293201,NA,2,3,1,1,14.0355155567,171141.639287545,"DD"
"Aethomys_thomasi","Aethomys_thomasi","Aethomys_thomasi",84.69,2.9,2,1,1,1,22.6267652196,272324.740876317,"LC"
"Ailuropoda_melanoleuca","Ailuropoda_melanoleuca","Ailuropoda_melanoleuca",117500,1.58,2,2,1,1,3.290258058682,34709.2840608179,"VU"
"Ailurops_melanotis","Ailurops_melanotis","Ailurops_melanotis",8500,1.5,1,1,1,1,0.0223457918278,276.350310062799,"CR"
"Ailurops_ursinus","Ailurops_ursinus","Ailurops_ursinus",10000,1.5,1,4,1,1,14.6296074444889,181064.887098985,"VU"
"Ailurus_fulgens","Ailurus_fulgens","Ailurus_fulgens",4900,1.85,2,1,1,1,31.2724745592,340087.511246504,"EN"
"Akodon_aerosus","Akodon_aerosus","Akodon_aerosus",59.99,5,2,4,1,4,9.4333180334165,114898.558697307,"LC"
"Akodon_affinis","Akodon_affinis","Akodon_affinis",24.89,NA,2,2,1,4,3.44051857441,42476.491074455,"LC"
"Akodon_albiventer","Akodon_albiventer","Akodon_albiventer",25.95,NA,2,3,1,4,34.6909046001,404120.521954228,"LC"
"Akodon_aliquantulus","Akodon_aliquantulus","Akodon_aliquantulus",26.725,4.18,2,1,1,4,0.0437140244289,484.011188764351,"DD"
"Akodon_azarae","Akodon_azarae","Akodon_azarae",25,4.455,2,2,1,4,118.974050809083,1230870.44367184,"LC"
"Neomicroxus_bogotensis","Akodon_bogotensis","Akodon_bogotensis",12.99,NA,2,NA,1,4,4.913058241409,60510.0445519176,"LC"
"Akodon_boliviensis","Akodon_boliviensis","Akodon_boliviensis",27.5,4.52,2,2,1,4,18.5110033847,218702.913360938,"LC"
"Akodon_budini","Akodon_budini","Akodon_budini",26.9,NA,2,1,1,4,1.75088354506,19970.1490038526,"LC"
